id;fecha;tren_id;cliente_id;puesto;estado;jordana
1;2021-11-07T15:48:55;66000;87260;73167;Calleja;Ronda hacking
2;2021-11-07T14:39:06;81548;75285;99968;program digital Buckinghamshire;wireless
3;2021-11-06T20:37:59;67641;93244;58798;Sopa holistic synthesize;Representante Implementación Librería
4;2021-11-07T07:04:36;53394;19636;80726;deposit Tajikistan;Guapo
5;2021-11-07T14:59:41;47313;50934;88269;Cliente XML Loti;Ecuador
6;2021-11-07T03:46:10;17555;10237;93776;Guapa Borders;Pescado Granada Murcia
7;2021-11-07T08:37:18;10445;16192;8569;Verde Savings Hormigon;Account
8;2021-11-07T09:18:15;52954;92487;37758;Silla Ladrillo;Configuración iniciativa
9;2021-11-07T09:22:52;18722;97045;73717;Papelería;Bricolaje synergies
10;2021-11-07T14:45:15;86648;49805;64090;RSS incentivize Gerente;connecting
